State,LOANS,RBATE,TAX,Exem,Grant,Other,Laws and Regulations,Charging Station,population,recency_2y,recency_3y,chargers_per_100k,total_incentives,total_policies,policy_score,weighted_policy_score,weighted_policy_score_2y,diesel_2024,ev_2024,gas_2024,hev_2024,phev_2024,diesel_2016,ev_2016,gas_2016,hev_2016,phev_2016,total_vehicles_2024,ev_market_share,phev_market_share,hev_market_share,electrification_rate,ev_growth_rate,phev_growth_rate,hev_growth_rate,policy_norm,infra_norm,adoption_norm,policy_norm_2y,gap_score_2y,gap_score,category,Gap_Cluster
AK,6,0,5,1,46,2,21,79,675643,0.311868224,0.460916681,11.69,60,81,0.7407,0.3414,0.231,30200,3400,460800,12100,1100,44800,200,525900,5000,200,507600,0.0067,0.0022,0.0238,0.0089,17,5.5,2.42,0.0914,0.0362,0.1113,0.0577,-0.0898,-0.0561,Over-built,3
AL,6,1,5,1,47,2,23,656,4161893,0.311868224,0.460916681,15.76,62,85,0.7294,0.3362,0.2275,127400,17500,4129300,77600,6800,126500,500,3777300,29100,900,4358600,0.004,0.0016,0.0178,0.0056,35,7.56,2.67,0.0697,0.0808,0.048,0.0448,-0.084,-0.0591,Over-built,3
AR,6,0,5,1,49,2,24,408,2516529,0.440273718,0.579653296,16.21,63,87,0.7241,0.4197,0.3188,91400,9500,2265200,44500,3800,96800,200,2097800,19100,500,2414400,0.0039,0.0016,0.0184,0.0055,47.5,7.6,2.33,0.4184,0.0857,0.0461,0.3802,0.2484,0.2866,Underserved,4
AZ,6,0,6,5,46,2,28,1639,6055382,0.308051165,0.457158939,27.07,65,93,0.6989,0.3195,0.2153,198400,111200,5479600,202200,29300,179500,4700,4805000,89600,4400,6020700,0.0185,0.0049,0.0336,0.0233,23.66,6.66,2.26,0,0.2048,0.3877,0,-0.5925,-0.5925,Over-built,1
CA,8,6,5,5,66,4,80,20458,35840610,0.69111739,0.782246621,57.08,94,174,0.5402,0.4226,0.3733,737900,1533900,31251600,1895100,447100,710400,141500,27241000,966700,116700,35865600,0.0428,0.0125,0.0528,0.0552,10.84,3.83,1.96,0.4305,0.5338,1,0.5805,-0.9533,-1.1033,Over-built,1
CO,6,0,6,4,54,3,46,2871,4985409,0.562699862,0.682337177,57.59,73,119,0.6134,0.4185,0.3452,200300,127000,4501600,171200,48700,226800,5300,4180500,74000,3800,5048800,0.0252,0.0096,0.0339,0.0348,23.96,12.82,2.31,0.4134,0.5394,0.6084,0.4772,-0.6706,-0.7344,Over-built,1
CT,7,1,5,2,49,2,41,1631,3198037,0.467791923,0.603491118,51,66,107,0.6168,0.3722,0.2885,40500,39400,2572400,85200,22500,59700,2000,2690900,43200,2800,2760000,0.0143,0.0082,0.0309,0.0224,19.7,8.04,1.97,0.22,0.4671,0.3704,0.2689,-0.5686,-0.6175,Over-built,1
DC,6,0,6,3,46,2,36,408,538156,0.69111739,0.782246621,75.81,63,99,0.6364,0.4978,0.4398,1800,10100,255300,19300,4300,3200,600,277800,11800,500,290800,0.0347,0.0148,0.0664,0.0495,16.83,8.6,1.64,0.7445,0.7391,0.8906,0.8248,-0.8049,-0.8852,Over-built,1
DE,6,5,5,1,47,2,26,258,846686,0.631638059,0.736823238,30.47,66,92,0.7174,0.5286,0.4531,13900,11100,790600,26400,4600,17000,300,749800,11200,700,846600,0.0131,0.0054,0.0312,0.0185,37,6.57,2.36,0.8731,0.2421,0.2956,0.8736,0.3359,0.3354,Underserved,4
FL,7,0,5,2,46,2,26,4564,17696341,0.577824783,0.69447467,25.79,62,88,0.7045,0.4893,0.4071,352800,334800,16122400,499300,70400,353300,11600,13929200,207100,10100,17379700,0.0193,0.0041,0.0287,0.0233,28.86,6.97,2.41,0.709,0.1907,0.3877,0.7046,0.1262,0.1306,Underserved,4
GA,6,0,8,2,48,2,24,2460,9018681,0.54589841,0.668725291,27.28,66,90,0.7333,0.4904,0.4003,205900,120000,8261200,206300,26400,206700,18000,7377700,86400,4000,8819800,0.0136,0.003,0.0234,0.0166,6.67,6.6,2.39,0.7136,0.2071,0.2591,0.6796,0.2134,0.2474,Underserved,4
